condition,layer,task_i,task_j,cosine_similarity
cot-zero-shot,20,F3,F0,0.05250023121314096
cot-zero-shot,20,F3,F1,0.02742787268928004
cot-zero-shot,20,F3,F2,0.06845647822358691
cot-zero-shot,20,F3,F3,0.9999999999722136
cot-zero-shot,20,F3,F4,0.14612496630166066
cot-zero-shot,20,F3,F5,0.07879349205899153
cot-zero-shot,20,F4,A1,0.02729723885514139
cot-zero-shot,20,F4,A2,-0.0026975232684596463
cot-zero-shot,20,F4,A3,-0.0020135413286396435
cot-zero-shot,20,F4,F0,0.06832035770799735
cot-zero-shot,20,F4,F1,0.008804184260351263
cot-zero-shot,20,F4,F2,0.0457956247823021
cot-zero-shot,20,F4,F3,0.14612496630166066
cot-zero-shot,20,F4,F4,0.9999999999842383
cot-zero-shot,20,F4,F5,0.13774027816293133
cot-zero-shot,20,F5,A1,0.012039049294841656
cot-zero-shot,20,F5,A2,0.046068072178593655
cot-zero-shot,20,F5,A3,-0.027395336740799487
cot-zero-shot,20,F5,F0,0.04737582326313936
cot-zero-shot,20,F5,F1,-0.015170103678536424
cot-zero-shot,20,F5,F2,0.04257643551351803
cot-zero-shot,20,F5,F3,0.07879349205899153
cot-zero-shot,20,F5,F4,0.13774027816293133
cot-zero-shot,20,F5,F5,0.9999999999947415
cot-zero-shot,21,A1,A1,0.9999999999847962
cot-zero-shot,21,A1,A2,0.13010824292567033
cot-zero-shot,21,A1,A3,0.04703715041676689
cot-zero-shot,21,A1,F0,-0.01406658481394869
cot-zero-shot,21,A1,F1,0.012999940390419865
cot-zero-shot,21,A1,F2,0.008587455313442198
cot-zero-shot,21,A1,F3,0.00903346281089478
cot-zero-shot,21,A1,F4,0.017306057933539395
cot-zero-shot,21,A1,F5,0.020793743833665435
cot-zero-shot,21,A2,A1,0.13010824292567033
cot-zero-shot,21,A2,A2,0.999999999958383
cot-zero-shot,21,A2,A3,0.25831532643635297
cot-zero-shot,21,A2,F0,0.0014899032717538294
cot-zero-shot,21,A2,F1,-0.010701721058433505
cot-zero-shot,21,A2,F2,0.0034938631072587416
cot-zero-shot,21,A2,F3,0.014252000318535173
cot-zero-shot,21,A2,F4,-0.007330455639434988
cot-zero-shot,21,A2,F5,0.04367214393053831
cot-zero-shot,21,A3,A1,0.04703715041676689
cot-zero-shot,21,A3,A2,0.25831532643635297
cot-zero-shot,21,A3,A3,0.9999999998176177
cot-zero-shot,21,A3,F0,-0.00399147195927173
cot-zero-shot,21,A3,F1,-0.011764924978520242
cot-zero-shot,21,A3,F2,-0.02082240949547012
cot-zero-shot,21,A3,F3,-0.0076826676515542635
cot-zero-shot,21,A3,F4,0.00611062693746711
cot-zero-shot,21,A3,F5,-0.024101763605838687
cot-zero-shot,21,F0,A1,-0.01406658481394869
cot-zero-shot,21,F0,A2,0.0014899032717538294
cot-zero-shot,21,F0,A3,-0.00399147195927173
cot-zero-shot,21,F0,F0,0.9999999999960432
cot-zero-shot,21,F0,F1,0.03264898890944451
cot-zero-shot,21,F0,F2,0.1404589800513525
cot-zero-shot,21,F0,F3,0.05272717643365823
cot-zero-shot,21,F0,F4,0.06432385095661027
cot-zero-shot,21,F0,F5,0.03543348381627624
cot-zero-shot,21,F1,A1,0.012999940390419865
cot-zero-shot,21,F1,A2,-0.010701721058433505
cot-zero-shot,21,F1,A3,-0.011764924978520242
cot-zero-shot,21,F1,F0,0.03264898890944451
cot-zero-shot,21,F1,F1,0.9999999999864916
cot-zero-shot,21,F1,F2,0.06035039789875593
cot-zero-shot,21,F1,F3,0.029673330255266472
cot-zero-shot,21,F1,F4,0.0043140760166849295
cot-zero-shot,21,F1,F5,-0.011890511775933955
cot-zero-shot,21,F2,A1,0.008587455313442198
cot-zero-shot,21,F2,A2,0.0034938631072587416
cot-zero-shot,21,F2,A3,-0.02082240949547012
cot-zero-shot,21,F2,F0,0.1404589800513525
cot-zero-shot,21,F2,F1,0.06035039789875593
cot-zero-shot,21,F2,F2,0.9999999999968392
cot-zero-shot,21,F2,F3,0.059280254971858126
cot-zero-shot,21,F2,F4,0.04942749927127008
cot-zero-shot,21,F2,F5,0.03931279227963158
cot-zero-shot,21,F3,A1,0.00903346281089478
cot-zero-shot,21,F3,A2,0.014252000318535173
cot-zero-shot,21,F3,A3,-0.0076826676515542635
cot-zero-shot,21,F3,F0,0.05272717643365823
cot-zero-shot,21,F3,F1,0.029673330255266472
cot-zero-shot,21,F3,F2,0.059280254971858126
cot-zero-shot,21,F3,F3,0.9999999999718321
cot-zero-shot,21,F3,F4,0.14274922620748418
cot-zero-shot,21,F3,F5,0.07206897498259487
cot-zero-shot,21,F4,A1,0.017306057933539395
cot-zero-shot,21,F4,A2,-0.007330455639434988
cot-zero-shot,21,F4,A3,0.00611062693746711
cot-zero-shot,21,F4,F0,0.06432385095661027
cot-zero-shot,21,F4,F1,0.0043140760166849295
cot-zero-shot,21,F4,F2,0.04942749927127008
cot-zero-shot,21,F4,F3,0.14274922620748418
cot-zero-shot,21,F4,F4,0.9999999999840382
cot-zero-shot,21,F4,F5,0.13867066079216725
cot-zero-shot,21,F5,A1,0.020793743833665435
cot-zero-shot,21,F5,A2,0.04367214393053831
cot-zero-shot,21,F5,A3,-0.024101763605838687
cot-zero-shot,21,F5,F0,0.03543348381627624
cot-zero-shot,21,F5,F1,-0.011890511775933955
cot-zero-shot,21,F5,F2,0.03931279227963158
cot-zero-shot,21,F5,F3,0.07206897498259487
cot-zero-shot,21,F5,F4,0.13867066079216725
cot-zero-shot,21,F5,F5,0.9999999999945508
cot-zero-shot,22,A1,A1,0.9999999999839405
cot-zero-shot,22,A1,A2,0.1266588939650614
cot-zero-shot,22,A1,A3,0.03917965574686549
cot-zero-shot,22,A1,F0,-0.008388237027127297
cot-zero-shot,22,A1,F1,0.011850366691280917
cot-zero-shot,22,A1,F2,0.0038367620058547217
cot-zero-shot,22,A1,F3,0.001766290219064123
cot-zero-shot,22,A1,F4,0.015051817523480227
cot-zero-shot,22,A1,F5,0.023846795065838783
cot-zero-shot,22,A2,A1,0.1266588939650614
cot-zero-shot,22,A2,A2,0.9999999999564098
cot-zero-shot,22,A2,A3,0.21506538841791656
cot-zero-shot,22,A2,F0,0.011414824749655128
cot-zero-shot,22,A2,F1,-0.010800305859204438
cot-zero-shot,22,A2,F2,0.006399455193860283
cot-zero-shot,22,A2,F3,-0.0016641599668529633
cot-zero-shot,22,A2,F4,-0.0005511251779273047
cot-zero-shot,22,A2,F5,0.04769932815368532
cot-zero-shot,22,A3,A1,0.03917965574686549
cot-zero-shot,22,A3,A2,0.21506538841791656
cot-zero-shot,22,A3,A3,0.999999999745009
cot-zero-shot,22,A3,F0,-0.0012638210951644733
cot-zero-shot,22,A3,F1,-0.008490585639309964
cot-zero-shot,22,A3,F2,-0.017495209802117016
cot-zero-shot,22,A3,F3,-0.008243015596269531
cot-zero-shot,22,A3,F4,0.007251149601937667
cot-zero-shot,22,A3,F5,-0.021761255011323893
cot-zero-shot,22,F0,A1,-0.008388237027127297
cot-zero-shot,22,F0,A2,0.011414824749655128
cot-zero-shot,22,F0,A3,-0.0012638210951644733
cot-zero-shot,22,F0,F0,0.9999999999959406
cot-zero-shot,22,F0,F1,0.03471022779549457
cot-zero-shot,22,F0,F2,0.13541836932401127
cot-zero-shot,22,F0,F3,0.05526580810058688
cot-zero-shot,22,F0,F4,0.058054166407472324
cot-zero-shot,22,F0,F5,0.03754677383556161
cot-zero-shot,22,F1,A1,0.011850366691280917
cot-zero-shot,22,F1,A2,-0.010800305859204438
cot-zero-shot,22,F1,A3,-0.008490585639309964
cot-zero-shot,22,F1,F0,0.03471022779549457
cot-zero-shot,22,F1,F1,0.9999999999860352
cot-zero-shot,22,F1,F2,0.055891242841723705
cot-zero-shot,22,F1,F3,0.024491695660207223
cot-zero-shot,22,F1,F4,0.00022527381039105825
cot-zero-shot,22,F1,F5,-0.008892732769782764
cot-zero-shot,22,F2,A1,0.0038367620058547217
cot-zero-shot,22,F2,A2,0.006399455193860283
cot-zero-shot,22,F2,A3,-0.017495209802117016
cot-zero-shot,22,F2,F0,0.13541836932401127
cot-zero-shot,22,F2,F1,0.055891242841723705
cot-zero-shot,22,F2,F2,0.9999999999968621
cot-zero-shot,22,F2,F3,0.05560422462574626
cot-zero-shot,22,F2,F4,0.05231749035756378
cot-zero-shot,22,F2,F5,0.040077266511136425
cot-zero-shot,22,F3,A1,0.001766290219064123
cot-zero-shot,22,F3,A2,-0.0016641599668529633
cot-zero-shot,22,F3,A3,-0.008243015596269531
cot-zero-shot,22,F3,F0,0.05526580810058688
cot-zero-shot,22,F3,F1,0.024491695660207223
cot-zero-shot,22,F3,F2,0.05560422462574626
cot-zero-shot,22,F3,F3,0.9999999999719842
cot-zero-shot,22,F3,F4,0.13871869940367512
cot-zero-shot,22,F3,F5,0.07152831504909447
cot-zero-shot,22,F4,A1,0.015051817523480227
cot-zero-shot,22,F4,A2,-0.0005511251779273047
cot-zero-shot,22,F4,A3,0.007251149601937667
cot-zero-shot,22,F4,F0,0.058054166407472324
cot-zero-shot,22,F4,F1,0.00022527381039105825
cot-zero-shot,22,F4,F2,0.05231749035756378
cot-zero-shot,22,F4,F3,0.13871869940367512
cot-zero-shot,22,F4,F4,0.9999999999839964
cot-zero-shot,22,F4,F5,0.1478411284670737
cot-zero-shot,22,F5,A1,0.023846795065838783
cot-zero-shot,22,F5,A2,0.04769932815368532
cot-zero-shot,22,F5,A3,-0.021761255011323893
cot-zero-shot,22,F5,F0,0.03754677383556161
cot-zero-shot,22,F5,F1,-0.008892732769782764
cot-zero-shot,22,F5,F2,0.040077266511136425
cot-zero-shot,22,F5,F3,0.07152831504909447
cot-zero-shot,22,F5,F4,0.1478411284670737
cot-zero-shot,22,F5,F5,0.9999999999943873
cot-zero-shot,23,A1,A1,0.9999999999844135
cot-zero-shot,23,A1,A2,0.1142272927437162
cot-zero-shot,23,A1,A3,0.025487498650862847
cot-zero-shot,23,A1,F0,-0.0050611466866212805
cot-zero-shot,23,A1,F1,0.013506101701739028
cot-zero-shot,23,A1,F2,0.006713958490014064
cot-zero-shot,23,A1,F3,0.004745964795751748
cot-zero-shot,23,A1,F4,0.026964062878943647
cot-zero-shot,23,A1,F5,0.01393963537403334
cot-zero-shot,23,A2,A1,0.1142272927437162
cot-zero-shot,23,A2,A2,0.999999999956913
cot-zero-shot,23,A2,A3,0.17328992271611654
cot-zero-shot,23,A2,F0,0.018538953888619508
cot-zero-shot,23,A2,F1,-0.007930234874903297
cot-zero-shot,23,A2,F2,-0.0008761663086603947
cot-zero-shot,23,A2,F3,-0.0012664290717468948
cot-zero-shot,23,A2,F4,0.000693059004112083
cot-zero-shot,23,A2,F5,0.04949997380082397
cot-zero-shot,23,A3,A1,0.025487498650862847
cot-zero-shot,23,A3,A2,0.17328992271611654
cot-zero-shot,23,A3,A3,0.9999999996732155
cot-zero-shot,23,A3,F0,-0.0016360178882223759
cot-zero-shot,23,A3,F1,-0.006480015748055272
cot-zero-shot,23,A3,F2,-0.013215157304560007
cot-zero-shot,23,A3,F3,-0.005082169436715042
cot-zero-shot,23,A3,F4,0.004473695934072671
cot-zero-shot,23,A3,F5,-0.02181676678653709
cot-zero-shot,23,F0,A1,-0.0050611466866212805
cot-zero-shot,23,F0,A2,0.018538953888619508
cot-zero-shot,23,F0,A3,-0.0016360178882223759
cot-zero-shot,23,F0,F0,0.9999999999959182
cot-zero-shot,23,F0,F1,0.037615138312144934
cot-zero-shot,23,F0,F2,0.13065486229192463
cot-zero-shot,23,F0,F3,0.057770744480063786
cot-zero-shot,23,F0,F4,0.051946246328311955
cot-zero-shot,23,F0,F5,0.04134016481670385
cot-zero-shot,23,F1,A1,0.013506101701739028
cot-zero-shot,23,F1,A2,-0.007930234874903297
cot-zero-shot,23,F1,A3,-0.006480015748055272
cot-zero-shot,23,F1,F0,0.037615138312144934
cot-zero-shot,23,F1,F1,0.9999999999861635
cot-zero-shot,23,F1,F2,0.0540851495512213
cot-zero-shot,23,F1,F3,0.00998295278887422
cot-zero-shot,23,F1,F4,0.004775673498809437
cot-zero-shot,23,F1,F5,-0.008463564295435917
cot-zero-shot,23,F2,A1,0.006713958490014064
cot-zero-shot,23,F2,A2,-0.0008761663086603947
cot-zero-shot,23,F2,A3,-0.013215157304560007
cot-zero-shot,23,F2,F0,0.13065486229192463
cot-zero-shot,23,F2,F1,0.0540851495512213
cot-zero-shot,23,F2,F2,0.9999999999968784
cot-zero-shot,23,F2,F3,0.057731380439589815
cot-zero-shot,23,F2,F4,0.04755133828090461
cot-zero-shot,23,F2,F5,0.03945602558082848
cot-zero-shot,23,F3,A1,0.004745964795751748
cot-zero-shot,23,F3,A2,-0.0012664290717468948
cot-zero-shot,23,F3,A3,-0.005082169436715042
cot-zero-shot,23,F3,F0,0.057770744480063786
cot-zero-shot,23,F3,F1,0.00998295278887422
cot-zero-shot,23,F3,F2,0.057731380439589815
cot-zero-shot,23,F3,F3,0.9999999999730099
cot-zero-shot,23,F3,F4,0.13170328211219284
cot-zero-shot,23,F3,F5,0.0659374920874625
cot-zero-shot,23,F4,A1,0.026964062878943647
cot-zero-shot,23,F4,A2,0.000693059004112083
cot-zero-shot,23,F4,A3,0.004473695934072671
cot-zero-shot,23,F4,F0,0.051946246328311955
cot-zero-shot,23,F4,F1,0.004775673498809437
cot-zero-shot,23,F4,F2,0.04755133828090461
cot-zero-shot,23,F4,F3,0.13170328211219284
cot-zero-shot,23,F4,F4,0.9999999999845787
cot-zero-shot,23,F4,F5,0.15299051472701344
cot-zero-shot,23,F5,A1,0.01393963537403334
cot-zero-shot,23,F5,A2,0.04949997380082397
cot-zero-shot,23,F5,A3,-0.02181676678653709
cot-zero-shot,23,F5,F0,0.04134016481670385
cot-zero-shot,23,F5,F1,-0.008463564295435917
cot-zero-shot,23,F5,F2,0.03945602558082848
cot-zero-shot,23,F5,F3,0.0659374920874625
cot-zero-shot,23,F5,F4,0.15299051472701344
cot-zero-shot,23,F5,F5,0.9999999999942919
cot-zero-shot,24,A1,A1,0.99999999998484
cot-zero-shot,24,A1,A2,0.11583212694853182
cot-zero-shot,24,A1,A3,0.017052059008176676
cot-zero-shot,24,A1,F0,-0.010662826524451675
cot-zero-shot,24,A1,F1,0.008758460910331155
cot-zero-shot,24,A1,F2,0.00845204870794591
cot-zero-shot,24,A1,F3,0.010553297198841197
cot-zero-shot,24,A1,F4,0.014298186047434344
cot-zero-shot,24,A1,F5,0.0017819315810115094
cot-zero-shot,24,A2,A1,0.11583212694853182
cot-zero-shot,24,A2,A2,0.9999999999622432
cot-zero-shot,24,A2,A3,0.14531832318250845
cot-zero-shot,24,A2,F0,0.01856591012456693
cot-zero-shot,24,A2,F1,-0.005709958225051517
cot-zero-shot,24,A2,F2,0.00484408618494387
cot-zero-shot,24,A2,F3,-0.007764306722780415
cot-zero-shot,24,A2,F4,-0.010129543349229178
cot-zero-shot,24,A2,F5,0.040636165532322015
cot-zero-shot,24,A3,A1,0.017052059008176676
cot-zero-shot,24,A3,A2,0.14531832318250845
cot-zero-shot,24,A3,A3,0.9999999996039256
cot-zero-shot,24,A3,F0,0.0012434578930003676
cot-zero-shot,24,A3,F1,-0.004104682297569036
cot-zero-shot,24,A3,F2,-0.01031649820386866
cot-zero-shot,24,A3,F3,-0.005087252821336014
cot-zero-shot,24,A3,F4,0.004560011686778084
cot-zero-shot,24,A3,F5,-0.025095774603810204
cot-zero-shot,24,F0,A1,-0.010662826524451675
cot-zero-shot,24,F0,A2,0.01856591012456693
cot-zero-shot,24,F0,A3,0.0012434578930003676
cot-zero-shot,24,F0,F0,0.999999999995844
cot-zero-shot,24,F0,F1,0.03943435921032749
cot-zero-shot,24,F0,F2,0.13938702223372818
cot-zero-shot,24,F0,F3,0.058305496886219846
cot-zero-shot,24,F0,F4,0.053556072740740125
cot-zero-shot,24,F0,F5,0.040332680211102825
cot-zero-shot,24,F1,A1,0.008758460910331155
cot-zero-shot,24,F1,A2,-0.005709958225051517
cot-zero-shot,24,F1,A3,-0.004104682297569036
cot-zero-shot,24,F1,F0,0.03943435921032749
cot-zero-shot,24,F1,F1,0.999999999986031
cot-zero-shot,24,F1,F2,0.050740837962214305
cot-zero-shot,24,F1,F3,0.022049023484398314
cot-zero-shot,24,F1,F4,0.007668159762980426
cot-zero-shot,24,F1,F5,-0.011461749943504136
cot-zero-shot,24,F2,A1,0.00845204870794591
cot-zero-shot,24,F2,A2,0.00484408618494387
cot-zero-shot,24,F2,A3,-0.01031649820386866
cot-zero-shot,24,F2,F0,0.13938702223372818
cot-zero-shot,24,F2,F1,0.050740837962214305
cot-zero-shot,24,F2,F2,0.999999999996791
cot-zero-shot,24,F2,F3,0.05368227818262415
cot-zero-shot,24,F2,F4,0.040071771001625206
cot-zero-shot,24,F2,F5,0.036842102703071915
cot-zero-shot,24,F3,A1,0.010553297198841197
cot-zero-shot,24,F3,A2,-0.007764306722780415
cot-zero-shot,24,F3,A3,-0.005087252821336014
cot-zero-shot,24,F3,F0,0.058305496886219846
cot-zero-shot,24,F3,F1,0.022049023484398314
cot-zero-shot,24,F3,F2,0.05368227818262415
cot-zero-shot,24,F3,F3,0.9999999999733572
cot-zero-shot,24,F3,F4,0.11137827352377637
cot-zero-shot,24,F3,F5,0.052362702252610624
cot-zero-shot,24,F4,A1,0.014298186047434344
cot-zero-shot,24,F4,A2,-0.010129543349229178
cot-zero-shot,24,F4,A3,0.004560011686778084
cot-zero-shot,24,F4,F0,0.053556072740740125
cot-zero-shot,24,F4,F1,0.007668159762980426
cot-zero-shot,24,F4,F2,0.040071771001625206
cot-zero-shot,24,F4,F3,0.11137827352377637
cot-zero-shot,24,F4,F4,0.9999999999846808
cot-zero-shot,24,F4,F5,0.15413700010773498
cot-zero-shot,24,F5,A1,0.0017819315810115094
cot-zero-shot,24,F5,A2,0.040636165532322015
cot-zero-shot,24,F5,A3,-0.025095774603810204
cot-zero-shot,24,F5,F0,0.040332680211102825
cot-zero-shot,24,F5,F1,-0.011461749943504136
cot-zero-shot,24,F5,F2,0.036842102703071915
cot-zero-shot,24,F5,F3,0.052362702252610624
cot-zero-shot,24,F5,F4,0.15413700010773498
cot-zero-shot,24,F5,F5,0.9999999999941444
cot-zero-shot,25,A1,A1,0.9999999999833118
cot-zero-shot,25,A1,A2,0.10615801168705391
cot-zero-shot,25,A1,A3,0.015089285411071542
cot-zero-shot,25,A1,F0,-0.011977974236057802
cot-zero-shot,25,A1,F1,0.00789527297794074
cot-zero-shot,25,A1,F2,0.012961819620451606
cot-zero-shot,25,A1,F3,0.012300649014202213
cot-zero-shot,25,A1,F4,0.009227450070950854
cot-zero-shot,25,A1,F5,0.011592007668359718
cot-zero-shot,25,A2,A1,0.10615801168705391
cot-zero-shot,25,A2,A2,0.99999999996115
cot-zero-shot,25,A2,A3,0.1339511794063139
cot-zero-shot,25,A2,F0,0.018426953202974567
cot-zero-shot,25,A2,F1,-0.014583043392403539
cot-zero-shot,25,A2,F2,0.01670959035545314
cot-zero-shot,25,A2,F3,0.0009610105415698208
cot-zero-shot,25,A2,F4,-0.006672564771797265
cot-zero-shot,25,A2,F5,0.03858111584010317
cot-zero-shot,25,A3,A1,0.015089285411071542
cot-zero-shot,25,A3,A2,0.1339511794063139
cot-zero-shot,25,A3,A3,0.9999999994718491
cot-zero-shot,25,A3,F0,-0.0034316360487551944
cot-zero-shot,25,A3,F1,-0.009194865190166107
cot-zero-shot,25,A3,F2,-0.012378944733260901
cot-zero-shot,25,A3,F3,-0.007943287896837884
cot-zero-shot,25,A3,F4,0.0005710052792148714
cot-zero-shot,25,A3,F5,-0.023534325446052395
cot-zero-shot,25,F0,A1,-0.011977974236057802
cot-zero-shot,25,F0,A2,0.018426953202974567
cot-zero-shot,25,F0,A3,-0.0034316360487551944
cot-zero-shot,25,F0,F0,0.9999999999955507
cot-zero-shot,25,F0,F1,0.0412754860020517
cot-zero-shot,25,F0,F2,0.1411777213966619
cot-zero-shot,25,F0,F3,0.04070682154876103
cot-zero-shot,25,F0,F4,0.050137547141486126
cot-zero-shot,25,F0,F5,0.029734215193113082
cot-zero-shot,25,F1,A1,0.00789527297794074
cot-zero-shot,25,F1,A2,-0.014583043392403539
cot-zero-shot,25,F1,A3,-0.009194865190166107
cot-zero-shot,25,F1,F0,0.0412754860020517
cot-zero-shot,25,F1,F1,0.9999999999853533
cot-zero-shot,25,F1,F2,0.04900197679074797
cot-zero-shot,25,F1,F3,0.023463406734445365
cot-zero-shot,25,F1,F4,0.00011277239464684901
cot-zero-shot,25,F1,F5,-0.008295943211935629
cot-zero-shot,25,F2,A1,0.012961819620451606
cot-zero-shot,25,F2,A2,0.01670959035545314
cot-zero-shot,25,F2,A3,-0.012378944733260901
cot-zero-shot,25,F2,F0,0.1411777213966619
cot-zero-shot,25,F2,F1,0.04900197679074797
cot-zero-shot,25,F2,F2,0.9999999999966597
cot-zero-shot,25,F2,F3,0.0485346877814051
cot-zero-shot,25,F2,F4,0.04062241541146234
cot-zero-shot,25,F2,F5,0.037689410925089754
cot-zero-shot,25,F3,A1,0.012300649014202213
cot-zero-shot,25,F3,A2,0.0009610105415698208
cot-zero-shot,25,F3,A3,-0.007943287896837884
cot-zero-shot,25,F3,F0,0.04070682154876103
cot-zero-shot,25,F3,F1,0.023463406734445365
cot-zero-shot,25,F3,F2,0.0485346877814051
cot-zero-shot,25,F3,F3,0.9999999999743995
cot-zero-shot,25,F3,F4,0.10826169863962991
cot-zero-shot,25,F3,F5,0.05131749654654467
cot-zero-shot,25,F4,A1,0.009227450070950854
cot-zero-shot,25,F4,A2,-0.006672564771797265
cot-zero-shot,25,F4,A3,0.0005710052792148714
cot-zero-shot,25,F4,F0,0.050137547141486126
cot-zero-shot,25,F4,F1,0.00011277239464684901
cot-zero-shot,25,F4,F2,0.04062241541146234
cot-zero-shot,25,F4,F3,0.10826169863962991
cot-zero-shot,25,F4,F4,0.9999999999847471
cot-zero-shot,25,F4,F5,0.1588500739476137
cot-zero-shot,25,F5,A1,0.011592007668359718
cot-zero-shot,25,F5,A2,0.03858111584010317
cot-zero-shot,25,F5,A3,-0.023534325446052395
cot-zero-shot,25,F5,F0,0.029734215193113082
cot-zero-shot,25,F5,F1,-0.008295943211935629
cot-zero-shot,25,F5,F2,0.037689410925089754
cot-zero-shot,25,F5,F3,0.05131749654654467
cot-zero-shot,25,F5,F4,0.1588500739476137
cot-zero-shot,25,F5,F5,0.9999999999939311
cot-zero-shot,26,A1,A1,0.9999999999834079
cot-zero-shot,26,A1,A2,0.08860691588867861
cot-zero-shot,26,A1,A3,0.014874005969000386
cot-zero-shot,26,A1,F0,-0.008710776296543571
cot-zero-shot,26,A1,F1,0.004307548204065606
cot-zero-shot,26,A1,F2,-0.0029397493875191584
cot-zero-shot,26,A1,F3,0.01021118346642402
cot-zero-shot,26,A1,F4,0.008982430453539098
cot-zero-shot,26,A1,F5,0.010312311416890674
cot-zero-shot,26,A2,A1,0.08860691588867861
cot-zero-shot,26,A2,A2,0.9999999999643848
cot-zero-shot,26,A2,A3,0.11803029422880255
cot-zero-shot,26,A2,F0,0.005884160166848611
cot-zero-shot,26,A2,F1,-0.017525442436550024
cot-zero-shot,26,A2,F2,0.01897190188013929
cot-zero-shot,26,A2,F3,-0.008527859986968684
cot-zero-shot,26,A2,F4,0.004985317065436255
cot-zero-shot,26,A2,F5,0.03532854943356876
cot-zero-shot,26,A3,A1,0.014874005969000386
cot-zero-shot,26,A3,A2,0.11803029422880255
cot-zero-shot,26,A3,A3,0.9999999993495915
cot-zero-shot,26,A3,F0,0.006220552015313227
cot-zero-shot,26,A3,F1,-0.0069205556273405685
cot-zero-shot,26,A3,F2,-0.013440612177405607
cot-zero-shot,26,A3,F3,-0.0018228368757602692
cot-zero-shot,26,A3,F4,-0.0020285178268207886
cot-zero-shot,26,A3,F5,-0.028462453145177022
cot-zero-shot,26,F0,A1,-0.008710776296543571
cot-zero-shot,26,F0,A2,0.005884160166848611
cot-zero-shot,26,F0,A3,0.006220552015313227
cot-zero-shot,26,F0,F0,0.9999999999954479
cot-zero-shot,26,F0,F1,0.048459088205940394
cot-zero-shot,26,F0,F2,0.13828639598274772
cot-zero-shot,26,F0,F3,0.04065645622547225
cot-zero-shot,26,F0,F4,0.042263643502557874
cot-zero-shot,26,F0,F5,0.0379470635798731
cot-zero-shot,26,F1,A1,0.004307548204065606
cot-zero-shot,26,F1,A2,-0.017525442436550024
cot-zero-shot,26,F1,A3,-0.0069205556273405685
cot-zero-shot,26,F1,F0,0.048459088205940394
cot-zero-shot,26,F1,F1,0.9999999999853221
cot-zero-shot,26,F1,F2,0.048740828557055346
cot-zero-shot,26,F1,F3,0.025237123282736883
cot-zero-shot,26,F1,F4,-0.0005136152044264764
cot-zero-shot,26,F1,F5,-0.01674136906278626
cot-zero-shot,26,F2,A1,-0.0029397493875191584
cot-zero-shot,26,F2,A2,0.01897190188013929
cot-zero-shot,26,F2,A3,-0.013440612177405607
cot-zero-shot,26,F2,F0,0.13828639598274772
cot-zero-shot,26,F2,F1,0.048740828557055346
cot-zero-shot,26,F2,F2,0.999999999996603
cot-zero-shot,26,F2,F3,0.054235461951059924
cot-zero-shot,26,F2,F4,0.04437312995307645
cot-zero-shot,26,F2,F5,0.04314689894776969
cot-zero-shot,26,F3,A1,0.01021118346642402
cot-zero-shot,26,F3,A2,-0.008527859986968684
cot-zero-shot,26,F3,A3,-0.0018228368757602692
cot-zero-shot,26,F3,F0,0.04065645622547225
cot-zero-shot,26,F3,F1,0.025237123282736883
cot-zero-shot,26,F3,F2,0.054235461951059924
cot-zero-shot,26,F3,F3,0.9999999999760352
cot-zero-shot,26,F3,F4,0.10175116012914168
cot-zero-shot,26,F3,F5,0.043026317150087104
cot-zero-shot,26,F4,A1,0.008982430453539098
cot-zero-shot,26,F4,A2,0.004985317065436255
cot-zero-shot,26,F4,A3,-0.0020285178268207886
cot-zero-shot,26,F4,F0,0.042263643502557874
cot-zero-shot,26,F4,F1,-0.0005136152044264764
cot-zero-shot,26,F4,F2,0.04437312995307645
cot-zero-shot,26,F4,F3,0.10175116012914168
cot-zero-shot,26,F4,F4,0.999999999985052
cot-zero-shot,26,F4,F5,0.15190365278200585
cot-zero-shot,26,F5,A1,0.010312311416890674
cot-zero-shot,26,F5,A2,0.03532854943356876
cot-zero-shot,26,F5,A3,-0.028462453145177022
cot-zero-shot,26,F5,F0,0.0379470635798731
cot-zero-shot,26,F5,F1,-0.01674136906278626
cot-zero-shot,26,F5,F2,0.04314689894776969
cot-zero-shot,26,F5,F3,0.043026317150087104
cot-zero-shot,26,F5,F4,0.15190365278200585
cot-zero-shot,26,F5,F5,0.9999999999939128
cot-zero-shot,27,A1,A1,0.9999999999838508
cot-zero-shot,27,A1,A2,0.07578775818005522
cot-zero-shot,27,A1,A3,0.012472881375583608
cot-zero-shot,27,A1,F0,-0.0054027199854393415
cot-zero-shot,27,A1,F1,-0.00265782322076
cot-zero-shot,27,A1,F2,0.004003820895558527
cot-zero-shot,27,A1,F3,0.012875819265657033
cot-zero-shot,27,A1,F4,0.0016567410987293123
cot-zero-shot,27,A1,F5,0.01101958814387466
cot-zero-shot,27,A2,A1,0.07578775818005522
cot-zero-shot,27,A2,A2,0.999999999968011
cot-zero-shot,27,A2,A3,0.10768195600875466
cot-zero-shot,27,A2,F0,0.004631632557783157
cot-zero-shot,27,A2,F1,-0.030480963938365555
cot-zero-shot,27,A2,F2,0.02009553166572118
cot-zero-shot,27,A2,F3,-0.007153725140653631
cot-zero-shot,27,A2,F4,0.006764533199887161
cot-zero-shot,27,A2,F5,0.03384929717881494
cot-zero-shot,27,A3,A1,0.012472881375583608
cot-zero-shot,27,A3,A2,0.10768195600875466
cot-zero-shot,27,A3,A3,0.9999999991318591
