statement,label,countries,cities,stated_k1,stated_k2,actual_k1,actual_k2
"Exactly 2 of the following cities are in Guinea and 2 in Somalia: Mogadishu, Qujing, Camayenne, Conakry, Ibb, Borama.",1,"('Guinea', 'Somalia')","('Borama', 'Camayenne', 'Conakry', 'Ibb', 'Mogadishu', 'Qujing')",2,2,2,2
"Exactly 1 of the following cities are in Nigeria and 5 in Japan: Ilorin, Fukuoka, Tokyo, Sapporo, Kobe, Aihara.",1,"('Nigeria', 'Japan')","('Aihara', 'Fukuoka', 'Ilorin', 'Kobe', 'Sapporo', 'Tokyo')",1,5,1,5
"Exactly 1 of the following cities are in Laos and 5 in Malaysia: Vientiane, Kuantan, Johor Bahru, Kampung Baru Subang, Bukit Rahman Putra, Shah Alam.",1,"('Laos', 'Malaysia')","('Bukit Rahman Putra', 'Johor Bahru', 'Kampung Baru Subang', 'Kuantan', 'Shah Alam', 'Vientiane')",1,5,1,5
"Exactly 1 of the following cities are in Saudi Arabia and 4 in Egypt: Al Fayyum, Assiut, Giza, Quezon City, Sultanah, Al Mahallah al Kubra.",1,"('Saudi Arabia', 'Egypt')","('Al Fayyum', 'Al Mahallah al Kubra', 'Assiut', 'Giza', 'Quezon City', 'Sultanah')",1,4,1,4
"Exactly 2 of the following cities are in Zimbabwe and 3 in Malaysia: Mukim Pulai, Ujjain, Pelentong, Bulawayo, Harare, Johor Bahru.",1,"('Zimbabwe', 'Malaysia')","('Bulawayo', 'Harare', 'Johor Bahru', 'Mukim Pulai', 'Pelentong', 'Ujjain')",2,3,2,3
"Exactly 1 of the following cities are in Kenya and 4 in South Korea: Daegu, Bursa, Mombasa, Jeonju, Seoul, Incheon.",1,"('Kenya', 'South Korea')","('Bursa', 'Daegu', 'Incheon', 'Jeonju', 'Mombasa', 'Seoul')",1,4,1,4
"Exactly 1 of the following cities are in Benin and 3 in Venezuela: Maturin, Cotonou, Caracas, Ciudad Guayana, Wanzhou, Marrakesh.",1,"('Benin', 'Venezuela')","('Caracas', 'Ciudad Guayana', 'Cotonou', 'Marrakesh', 'Maturin', 'Wanzhou')",1,3,1,3
"Exactly 1 of the following cities are in Myanmar and 4 in Uzbekistan: Tashkent, Al Basrah al Qadimah, Namangan, Hlaingthaya, Andijon, Samarkand.",1,"('Myanmar', 'Uzbekistan')","('Al Basrah al Qadimah', 'Andijon', 'Hlaingthaya', 'Namangan', 'Samarkand', 'Tashkent')",1,4,1,4
"Exactly 2 of the following cities are in Zambia and 3 in Pakistan: Makati City, Multan, Lusaka, Battagram, Kasur, Kitwe.",1,"('Zambia', 'Pakistan')","('Battagram', 'Kasur', 'Kitwe', 'Lusaka', 'Makati City', 'Multan')",2,3,2,3
"Exactly 4 of the following cities are in Kenya and 2 in Indonesia: Nakuru, Surakarta, Mombasa, Malang, Nairobi, Kakamega.",1,"('Kenya', 'Indonesia')","('Kakamega', 'Malang', 'Mombasa', 'Nairobi', 'Nakuru', 'Surakarta')",4,2,4,2
"Exactly 2 of the following cities are in Vietnam and 4 in Thailand: Can Tho, Karbala, Shizuoka, Qui Nhon, Harare, Bangkok.",0,"('Vietnam', 'Thailand')","('Bangkok', 'Can Tho', 'Harare', 'Karbala', 'Qui Nhon', 'Shizuoka')",2,4,2,1
"Exactly 4 of the following cities are in Bangladesh and 2 in Iraq: Abu Ghurayb, Chattogram, Rajshahi, Nasiriyah, Sulaymaniyah, Ciudad Juarez.",0,"('Bangladesh', 'Iraq')","('Abu Ghurayb', 'Chattogram', 'Ciudad Juarez', 'Nasiriyah', 'Rajshahi', 'Sulaymaniyah')",4,2,2,3
"Exactly 4 of the following cities are in Myanmar and 2 in France: Marseille, Mandalay, Yangon, Hlaingthaya, Nay Pyi Taw, Toulouse.",1,"('Myanmar', 'France')","('Hlaingthaya', 'Mandalay', 'Marseille', 'Nay Pyi Taw', 'Toulouse', 'Yangon')",4,2,4,2
"Exactly 2 of the following cities are in the United States and 3 in Zambia: The Bronx, Lusaka, Naucalpan de Juarez, Ndola, Kitwe, Seattle.",1,"('the United States', 'Zambia')","('Kitwe', 'Lusaka', 'Naucalpan de Juarez', 'Ndola', 'Seattle', 'The Bronx')",2,3,2,3
"Exactly 3 of the following cities are in Tanzania and 1 in the United States: Queens, Albuquerque, Dodoma, Chengdu, Mbeya, Zhu Cheng City.",0,"('Tanzania', 'the United States')","('Albuquerque', 'Chengdu', 'Dodoma', 'Mbeya', 'Queens', 'Zhu Cheng City')",3,1,2,2
"Exactly 5 of the following cities are in Iran and 1 in South Korea: Hamadan, Cheonan, Cheongju-si, Jeonju, Dehradun, Changwon.",0,"('Iran', 'South Korea')","('Changwon', 'Cheonan', 'Cheongju-si', 'Dehradun', 'Hamadan', 'Jeonju')",5,1,1,4
"Exactly 1 of the following cities are in Bulgaria and 1 in Mali: Ahvaz, Niigata, Sofia, Qinzhou, Bamako, Bauchi.",1,"('Bulgaria', 'Mali')","('Ahvaz', 'Bamako', 'Bauchi', 'Niigata', 'Qinzhou', 'Sofia')",1,1,1,1
"Exactly 2 of the following cities are in Guinea and 1 in Kuwait: Jilin, Bukit Rahman Putra, Al Ahmadi, Camayenne, Conakry, Chiclayo.",1,"('Guinea', 'Kuwait')","('Al Ahmadi', 'Bukit Rahman Putra', 'Camayenne', 'Chiclayo', 'Conakry', 'Jilin')",2,1,2,1
"Exactly 2 of the following cities are in Russia and 4 in South Africa: Soweto, Pietermaritzburg, Gwalior, Cabinda, Vadodara, Novosibirsk.",0,"('Russia', 'South Africa')","('Cabinda', 'Gwalior', 'Novosibirsk', 'Pietermaritzburg', 'Soweto', 'Vadodara')",2,4,1,2
"Exactly 1 of the following cities are in Venezuela and 3 in Sweden: Mengzi, Maracaibo, Ta'if, Stockholm, Faridabad, Fukuoka.",0,"('Venezuela', 'Sweden')","('Faridabad', 'Fukuoka', 'Maracaibo', 'Mengzi', 'Stockholm', ""Ta'if"")",1,3,1,1
"Exactly 3 of the following cities are in Pakistan and 3 in Bosnia and Herzegovina: Jiaxing, Samarinda, Gustavo Adolfo Madero, Quetta, Detroit, Sarajevo.",0,"('Pakistan', 'Bosnia and Herzegovina')","('Detroit', 'Gustavo Adolfo Madero', 'Jiaxing', 'Quetta', 'Samarinda', 'Sarajevo')",3,3,1,1
"Exactly 1 of the following cities are in Haiti and 4 in Germany: Koeln, Tirunelveli, Port-au-Prince, Dortmund, Carrefour, Leipzig.",0,"('Haiti', 'Germany')","('Carrefour', 'Dortmund', 'Koeln', 'Leipzig', 'Port-au-Prince', 'Tirunelveli')",1,4,2,3
"Exactly 3 of the following cities are in Benin and 2 in Zambia: Wanxian, Lusaka, Akure, Ndola, Cotonou, Niluefer.",0,"('Benin', 'Zambia')","('Akure', 'Cotonou', 'Lusaka', 'Ndola', 'Niluefer', 'Wanxian')",3,2,1,2
"Exactly 2 of the following cities are in Indonesia and 2 in Egypt: Assiut, Port Harcourt, Shubra al Khaymah, Zhanjiang, Pekanbaru, Samarinda.",1,"('Indonesia', 'Egypt')","('Assiut', 'Pekanbaru', 'Port Harcourt', 'Samarinda', 'Shubra al Khaymah', 'Zhanjiang')",2,2,2,2
"Exactly 4 of the following cities are in the Democratic Republic of the Congo and 1 in Iran: Hamadan, Isfahan, Zahedan, Karaj, Kikwit, Arak.",0,"('the Democratic Republic of the Congo', 'Iran')","('Arak', 'Hamadan', 'Isfahan', 'Karaj', 'Kikwit', 'Zahedan')",4,1,1,5
"Exactly 2 of the following cities are in Syria and 3 in Senegal: Dakar, Ar Raqqah, Aleppo, Jajmau, Latakia, Homs.",0,"('Syria', 'Senegal')","('Aleppo', 'Ar Raqqah', 'Dakar', 'Homs', 'Jajmau', 'Latakia')",2,3,4,1
"Exactly 1 of the following cities are in Lebanon and 2 in Mexico: Mexicali, Tegucigalpa, Tanggu, Heroica Matamoros, Jiujiang, Beirut.",1,"('Lebanon', 'Mexico')","('Beirut', 'Heroica Matamoros', 'Jiujiang', 'Mexicali', 'Tanggu', 'Tegucigalpa')",1,2,1,2
"Exactly 3 of the following cities are in Honduras and 2 in Oman: Tegucigalpa, Tanggu, Managua, Wroclaw, Muscat, Goyang-si.",0,"('Honduras', 'Oman')","('Goyang-si', 'Managua', 'Muscat', 'Tanggu', 'Tegucigalpa', 'Wroclaw')",3,2,1,1
"Exactly 5 of the following cities are in China and 1 in Mozambique: Matola, Nampula, Beira, Maputo, Laibin, Guangyuan.",0,"('China', 'Mozambique')","('Beira', 'Guangyuan', 'Laibin', 'Maputo', 'Matola', 'Nampula')",5,1,2,4
"Exactly 3 of the following cities are in Colombia and 3 in Uzbekistan: Soacha, Ibague, Andijon, Tashkent, Samarkand, Bucaramanga.",1,"('Colombia', 'Uzbekistan')","('Andijon', 'Bucaramanga', 'Ibague', 'Samarkand', 'Soacha', 'Tashkent')",3,3,3,3
"Exactly 2 of the following cities are in Iraq and 3 in Uzbekistan: Nasiriyah, Shizuishan, Andijon, Matola, Vladivostok, Nanchang.",0,"('Iraq', 'Uzbekistan')","('Andijon', 'Matola', 'Nanchang', 'Nasiriyah', 'Shizuishan', 'Vladivostok')",2,3,1,1
"Exactly 1 of the following cities are in Saudi Arabia and 2 in Senegal: Pikine, Dakar, Andijon, Najran, Kolkata, Linfen.",1,"('Saudi Arabia', 'Senegal')","('Andijon', 'Dakar', 'Kolkata', 'Linfen', 'Najran', 'Pikine')",1,2,1,2
"Exactly 3 of the following cities are in Zimbabwe and 1 in Mexico: Victoria de Durango, Torreon, Harare, Ecatepec de Morelos, Santiago de Queretaro, Ciudad Juarez.",0,"('Zimbabwe', 'Mexico')","('Ciudad Juarez', 'Ecatepec de Morelos', 'Harare', 'Santiago de Queretaro', 'Torreon', 'Victoria de Durango')",3,1,1,5
"Exactly 5 of the following cities are in Vietnam and 1 in France: Qui Nhon, Hue, Toulouse, Haiphong, Tangerang, Thu GJuc.",0,"('Vietnam', 'France')","('Haiphong', 'Hue', 'Qui Nhon', 'Tangerang', 'Thu GJuc', 'Toulouse')",5,1,4,1
"Exactly 1 of the following cities are in the Democratic Republic of the Congo and 4 in Turkey: Mohammadpur, Kinshasa, Ankara, Lubumbashi, Kikwit, Bukavu.",0,"('the Democratic Republic of the Congo', 'Turkey')","('Ankara', 'Bukavu', 'Kikwit', 'Kinshasa', 'Lubumbashi', 'Mohammadpur')",1,4,4,1
"Exactly 4 of the following cities are in the United States and 2 in Iraq: Sadr City, Basrah, Seattle, The Bronx, Queens, New South Memphis.",1,"('the United States', 'Iraq')","('Basrah', 'New South Memphis', 'Queens', 'Sadr City', 'Seattle', 'The Bronx')",4,2,4,2
"Exactly 3 of the following cities are in Afghanistan and 1 in Saudi Arabia: Najran, Mazar-e Sharif, Beijing, Sagamihara, Ha'il, Dammam.",0,"('Afghanistan', 'Saudi Arabia')","('Beijing', 'Dammam', ""Ha'il"", 'Mazar-e Sharif', 'Najran', 'Sagamihara')",3,1,1,3
"Exactly 2 of the following cities are in Gabon and 1 in Indonesia: Libreville, Denpasar, Palembang, Cape Town, Ajmer, Tangerang.",0,"('Gabon', 'Indonesia')","('Ajmer', 'Cape Town', 'Denpasar', 'Libreville', 'Palembang', 'Tangerang')",2,1,1,3
"Exactly 3 of the following cities are in Sudan and 2 in South Korea: Anyang-si, Khartoum North, Daegu, Omdurman, Bucheon-si, Changwon.",0,"('Sudan', 'South Korea')","('Anyang-si', 'Bucheon-si', 'Changwon', 'Daegu', 'Khartoum North', 'Omdurman')",3,2,2,4
"Exactly 4 of the following cities are in Bangladesh and 1 in Nigeria: Onitsha, Maiduguri, Rangpur, Bahawalpur, Gazipur, Agege.",0,"('Bangladesh', 'Nigeria')","('Agege', 'Bahawalpur', 'Gazipur', 'Maiduguri', 'Onitsha', 'Rangpur')",4,1,2,3
"Exactly 3 of the following cities are in Nicaragua and 1 in Mexico: Tlaquepaque, Acapulco de Juarez, Goiania, Culiacan, Managua, Mexico City.",0,"('Nicaragua', 'Mexico')","('Acapulco de Juarez', 'Culiacan', 'Goiania', 'Managua', 'Mexico City', 'Tlaquepaque')",3,1,1,4
"Exactly 2 of the following cities are in the Democratic Republic of the Congo and 4 in Syria: Mbuji-Mayi, Kananga, Aleppo, Latakia, Homs, Ar Raqqah.",1,"('the Democratic Republic of the Congo', 'Syria')","('Aleppo', 'Ar Raqqah', 'Homs', 'Kananga', 'Latakia', 'Mbuji-Mayi')",2,4,2,4
"Exactly 4 of the following cities are in Tanzania and 2 in the Philippines: Najafgarh, Diyarbakir, Malingao, Zanzibar, Maiduguri, Arusha.",0,"('Tanzania', 'the Philippines')","('Arusha', 'Diyarbakir', 'Maiduguri', 'Malingao', 'Najafgarh', 'Zanzibar')",4,2,2,1
"Exactly 2 of the following cities are in Argentina and 4 in the United States: San Miguel de Tucuman, Tucson, Seattle, Mar del Plata, New South Memphis, The Bronx.",1,"('Argentina', 'the United States')","('Mar del Plata', 'New South Memphis', 'San Miguel de Tucuman', 'Seattle', 'The Bronx', 'Tucson')",2,4,2,4
"Exactly 3 of the following cities are in Iran and 1 in Eritrea: Orumiyeh, Arak, Qom, Asmara, Tehran, Rajkot.",0,"('Iran', 'Eritrea')","('Arak', 'Asmara', 'Orumiyeh', 'Qom', 'Rajkot', 'Tehran')",3,1,4,1
"Exactly 5 of the following cities are in Somalia and 1 in Rwanda: Basrah, Mogadishu, Madurai, Kigali, Kolwezi, Lanzhou.",0,"('Somalia', 'Rwanda')","('Basrah', 'Kigali', 'Kolwezi', 'Lanzhou', 'Madurai', 'Mogadishu')",5,1,1,1
"Exactly 2 of the following cities are in Egypt and 4 in Angola: Shubra al Khaymah, Kikolo, Lubango, Giza, Camama, Mulenvos.",1,"('Egypt', 'Angola')","('Camama', 'Giza', 'Kikolo', 'Lubango', 'Mulenvos', 'Shubra al Khaymah')",2,4,2,4
"Exactly 1 of the following cities are in Madagascar and 5 in Colombia: Ibague, Antananarivo, Soacha, Cucuta, Barranquilla, Bucaramanga.",1,"('Madagascar', 'Colombia')","('Antananarivo', 'Barranquilla', 'Bucaramanga', 'Cucuta', 'Ibague', 'Soacha')",1,5,1,5
"Exactly 3 of the following cities are in Lebanon and 3 in Kazakhstan: Aktobe, Almaty, Beirut, Hiroshima, Shymkent, Astana.",0,"('Lebanon', 'Kazakhstan')","('Aktobe', 'Almaty', 'Astana', 'Beirut', 'Hiroshima', 'Shymkent')",3,3,1,4
"Exactly 5 of the following cities are in Pakistan and 1 in Angola: Peshawar, Islamabad, Jhang Sadr, Kikolo, Arifwala, Sargodha.",1,"('Pakistan', 'Angola')","('Arifwala', 'Islamabad', 'Jhang Sadr', 'Kikolo', 'Peshawar', 'Sargodha')",5,1,5,1
"Exactly 3 of the following cities are in Yemen and 3 in South Korea: Sanaa, Incheon, Ansan-si, Ibb, Mukalla, Daejeon.",1,"('Yemen', 'South Korea')","('Ansan-si', 'Daejeon', 'Ibb', 'Incheon', 'Mukalla', 'Sanaa')",3,3,3,3
"Exactly 1 of the following cities are in Jordan and 2 in China: Shangqiu, South Tangerang, Irbid, Feira de Santana, Algiers, Yichang.",1,"('Jordan', 'China')","('Algiers', 'Feira de Santana', 'Irbid', 'Shangqiu', 'South Tangerang', 'Yichang')",1,2,1,2
"Exactly 2 of the following cities are in South Africa and 1 in Germany: Sarajevo, Hannover, Nanjing, Pretoria, Bloemfontein, Guigang.",1,"('South Africa', 'Germany')","('Bloemfontein', 'Guigang', 'Hannover', 'Nanjing', 'Pretoria', 'Sarajevo')",2,1,2,1
"Exactly 1 of the following cities are in Angola and 3 in the Dominican Republic: Santo Domingo Este, Evaton, Kikolo, Dera Ismail Khan, Santo Domingo Oeste, Santiago de los Caballeros.",1,"('Angola', 'the Dominican Republic')","('Dera Ismail Khan', 'Evaton', 'Kikolo', 'Santiago de los Caballeros', 'Santo Domingo Este', 'Santo Domingo Oeste')",1,3,1,3
"Exactly 3 of the following cities are in Peru and 2 in Ukraine: Kryvyy Rih, Kyiv, Chiclayo, Piura, Amravati, Callao.",1,"('Peru', 'Ukraine')","('Amravati', 'Callao', 'Chiclayo', 'Kryvyy Rih', 'Kyiv', 'Piura')",3,2,3,2
"Exactly 1 of the following cities are in Peru and 2 in Tanzania: Callao, Vladivostok, Helsinki, Volgograd, Dar es Salaam, Dodoma.",1,"('Peru', 'Tanzania')","('Callao', 'Dar es Salaam', 'Dodoma', 'Helsinki', 'Vladivostok', 'Volgograd')",1,2,1,2
"Exactly 1 of the following cities are in North Korea and 5 in Mozambique: Maputo, Calabar, Matola, Beira, Pyongyang, Ilorin.",0,"('North Korea', 'Mozambique')","('Beira', 'Calabar', 'Ilorin', 'Maputo', 'Matola', 'Pyongyang')",1,5,1,3
"Exactly 1 of the following cities are in Finland and 4 in the United States: Kyiv, Oklahoma City, Fort Worth, Helsinki, Chicago, Seattle.",1,"('Finland', 'the United States')","('Chicago', 'Fort Worth', 'Helsinki', 'Kyiv', 'Oklahoma City', 'Seattle')",1,4,1,4
"Exactly 2 of the following cities are in Oman and 2 in Nigeria: Muscat, Ajegunle, Warri, Al Ain City, Jos, Tlaquepaque.",0,"('Oman', 'Nigeria')","('Ajegunle', 'Al Ain City', 'Jos', 'Muscat', 'Tlaquepaque', 'Warri')",2,2,1,3
"Exactly 5 of the following cities are in Finland and 1 in Russia: Zagreb, Helsinki, Tabriz, Riga, Gold Coast, Krasnoyarsk.",0,"('Finland', 'Russia')","('Gold Coast', 'Helsinki', 'Krasnoyarsk', 'Riga', 'Tabriz', 'Zagreb')",5,1,1,1
"Exactly 1 of the following cities are in Malaysia and 5 in the Philippines: Pasig City, General Santos, Malingao, Kampung Baru Subang, Paranaque City, Caloocan.",1,"('Malaysia', 'the Philippines')","('Caloocan', 'General Santos', 'Kampung Baru Subang', 'Malingao', 'Paranaque City', 'Pasig City')",1,5,1,5
"Exactly 4 of the following cities are in Azerbaijan and 2 in Turkey: Diyarbakir, Haiphong, Erzurum, Edogawe, Baku, Chennai.",0,"('Azerbaijan', 'Turkey')","('Baku', 'Chennai', 'Diyarbakir', 'Edogawe', 'Erzurum', 'Haiphong')",4,2,1,2
"Exactly 1 of the following cities are in Thailand and 4 in Indonesia: Bangkok, Pekanbaru, Lviv, Bekasi, Omsk, Abeokuta.",0,"('Thailand', 'Indonesia')","('Abeokuta', 'Bangkok', 'Bekasi', 'Lviv', 'Omsk', 'Pekanbaru')",1,4,1,2
"Exactly 1 of the following cities are in Brazil and 4 in the United States: Goiania, Hegang, Fort Worth, Guarulhos, Bhayandar, New York City.",0,"('Brazil', 'the United States')","('Bhayandar', 'Fort Worth', 'Goiania', 'Guarulhos', 'Hegang', 'New York City')",1,4,2,2
"Exactly 2 of the following cities are in Ethiopia and 4 in the Dominican Republic: Santo Domingo Oeste, Rangpur, Omsk, Addis Ababa, Chicago, Tegucigalpa.",0,"('Ethiopia', 'the Dominican Republic')","('Addis Ababa', 'Chicago', 'Omsk', 'Rangpur', 'Santo Domingo Oeste', 'Tegucigalpa')",2,4,1,1
"Exactly 3 of the following cities are in Morocco and 1 in Belarus: Homyel', Meknes, Marrakesh, Tangier, Oujda, Minsk.",0,"('Morocco', 'Belarus')","(""Homyel'"", 'Marrakesh', 'Meknes', 'Minsk', 'Oujda', 'Tangier')",3,1,4,2
"Exactly 1 of the following cities are in Ukraine and 4 in Nicaragua: Chongming, Managua, Odesa, Seattle, Kryvyy Rih, Aktobe.",0,"('Ukraine', 'Nicaragua')","('Aktobe', 'Chongming', 'Kryvyy Rih', 'Managua', 'Odesa', 'Seattle')",1,4,2,1
"Exactly 3 of the following cities are in Egypt and 1 in Uzbekistan: Kuecuekcekmece, Namangan, Al Mahallah al Kubra, Al Fayyum, Giza, Samarinda.",1,"('Egypt', 'Uzbekistan')","('Al Fayyum', 'Al Mahallah al Kubra', 'Giza', 'Kuecuekcekmece', 'Namangan', 'Samarinda')",3,1,3,1
"Exactly 3 of the following cities are in Croatia and 1 in Russia: Barnaul, Khabarovsk, Zagreb, Vladivostok, Makhachkala, Chisinau.",0,"('Croatia', 'Russia')","('Barnaul', 'Chisinau', 'Khabarovsk', 'Makhachkala', 'Vladivostok', 'Zagreb')",3,1,1,4
"Exactly 2 of the following cities are in South Africa and 3 in China: Piura, Xiaogan, Soshanguve, Pietermaritzburg, Foshan, Shizuishan.",1,"('South Africa', 'China')","('Foshan', 'Pietermaritzburg', 'Piura', 'Shizuishan', 'Soshanguve', 'Xiaogan')",2,3,2,3
"Exactly 3 of the following cities are in Mozambique and 1 in Oman: Beira, Tokyo, Matola, Nampula, Bucheon-si, Muscat.",1,"('Mozambique', 'Oman')","('Beira', 'Bucheon-si', 'Matola', 'Muscat', 'Nampula', 'Tokyo')",3,1,3,1
"Exactly 3 of the following cities are in Senegal and 3 in Morocco: Agadir, Meknes, Marrakesh, Shuangyashan, Dakar, Pikine.",0,"('Senegal', 'Morocco')","('Agadir', 'Dakar', 'Marrakesh', 'Meknes', 'Pikine', 'Shuangyashan')",3,3,2,3
"Exactly 2 of the following cities are in Tanzania and 1 in Pakistan: Batam, Lahore, Dodoma, Kikolo, Dar es Salaam, Matsuyama.",1,"('Tanzania', 'Pakistan')","('Batam', 'Dar es Salaam', 'Dodoma', 'Kikolo', 'Lahore', 'Matsuyama')",2,1,2,1
"Exactly 4 of the following cities are in Guatemala and 2 in Cambodia: Mukalla, Phnom Penh, Denpasar, Shah Alam, Batam, Guatemala City.",0,"('Guatemala', 'Cambodia')","('Batam', 'Denpasar', 'Guatemala City', 'Mukalla', 'Phnom Penh', 'Shah Alam')",4,2,1,1
"Exactly 4 of the following cities are in Kenya and 2 in Côte d'Ivoire: Bouake, Kakamega, Nakuru, Nairobi, Mombasa, Abidjan.",1,"('Kenya', ""Côte d'Ivoire"")","('Abidjan', 'Bouake', 'Kakamega', 'Mombasa', 'Nairobi', 'Nakuru')",4,2,4,2
"Exactly 2 of the following cities are in the Philippines and 4 in Iraq: Basrah, Mosul, Abu Ghurayb, Cebu City, Cagayan de Oro, Sulaymaniyah.",1,"('the Philippines', 'Iraq')","('Abu Ghurayb', 'Basrah', 'Cagayan de Oro', 'Cebu City', 'Mosul', 'Sulaymaniyah')",2,4,2,4
"Exactly 1 of the following cities are in Cameroon and 1 in Russia: Kemerovo, Douala, Hamhung, Tyumen, Yaounde, Juiz de Fora.",0,"('Cameroon', 'Russia')","('Douala', 'Hamhung', 'Juiz de Fora', 'Kemerovo', 'Tyumen', 'Yaounde')",1,1,2,2
"Exactly 1 of the following cities are in Saudi Arabia and 1 in Peru: Piura, Jeddah, Madinah, Dammam, Sultanah, Arequipa.",0,"('Saudi Arabia', 'Peru')","('Arequipa', 'Dammam', 'Jeddah', 'Madinah', 'Piura', 'Sultanah')",1,1,4,2
"Exactly 3 of the following cities are in Indonesia and 3 in Myanmar: Denpasar, Hlaingthaya, South Tangerang, Mandalay, Samarinda, Yangjiang.",0,"('Indonesia', 'Myanmar')","('Denpasar', 'Hlaingthaya', 'Mandalay', 'Samarinda', 'South Tangerang', 'Yangjiang')",3,3,3,2
"Exactly 2 of the following cities are in Jamaica and 4 in Zambia: Kitwe, Ndola, Saitama, New Kingston, Lusaka, Anshan.",0,"('Jamaica', 'Zambia')","('Anshan', 'Kitwe', 'Lusaka', 'Ndola', 'New Kingston', 'Saitama')",2,4,1,3
"Exactly 2 of the following cities are in Yemen and 1 in Mozambique: Yingkou, Sanaa, Orenburg, Maputo, Mukalla, Bangkok.",1,"('Yemen', 'Mozambique')","('Bangkok', 'Maputo', 'Mukalla', 'Orenburg', 'Sanaa', 'Yingkou')",2,1,2,1
"Exactly 3 of the following cities are in Zimbabwe and 3 in Peru: Piura, Arequipa, Harare, Chiclayo, Callao, Bulawayo.",0,"('Zimbabwe', 'Peru')","('Arequipa', 'Bulawayo', 'Callao', 'Chiclayo', 'Harare', 'Piura')",3,3,2,4
"Exactly 1 of the following cities are in Mexico and 2 in Cameroon: Wroclaw, Douala, Novosibirsk, Ecatepec de Morelos, Yaounde, Santo Domingo Este.",1,"('Mexico', 'Cameroon')","('Douala', 'Ecatepec de Morelos', 'Novosibirsk', 'Santo Domingo Este', 'Wroclaw', 'Yaounde')",1,2,1,2
"Exactly 1 of the following cities are in Thailand and 3 in the Philippines: Muntinlupa, Pasig City, Lipetsk, Las Pinas, Jeddah, Bangkok.",1,"('Thailand', 'the Philippines')","('Bangkok', 'Jeddah', 'Las Pinas', 'Lipetsk', 'Muntinlupa', 'Pasig City')",1,3,1,3
"Exactly 1 of the following cities are in Turkmenistan and 4 in Peru: Shangrao, Chiclayo, Arequipa, Piura, Ashgabat, Callao.",1,"('Turkmenistan', 'Peru')","('Arequipa', 'Ashgabat', 'Callao', 'Chiclayo', 'Piura', 'Shangrao')",1,4,1,4
"Exactly 1 of the following cities are in Denmark and 5 in Iran: Karaj, Copenhagen, Kermanshah, Ahvaz, Tabriz, Arak.",1,"('Denmark', 'Iran')","('Ahvaz', 'Arak', 'Copenhagen', 'Karaj', 'Kermanshah', 'Tabriz')",1,5,1,5
"Exactly 2 of the following cities are in Guinea and 3 in Jordan: Zarqa, Irbid, Conakry, Amman, Camayenne, Cape Town.",1,"('Guinea', 'Jordan')","('Amman', 'Camayenne', 'Cape Town', 'Conakry', 'Irbid', 'Zarqa')",2,3,2,3
"Exactly 2 of the following cities are in Belarus and 4 in the Philippines: Homyel', Malingao, Taguig, Budta, Paranaque City, Minsk.",1,"('Belarus', 'the Philippines')","('Budta', ""Homyel'"", 'Malingao', 'Minsk', 'Paranaque City', 'Taguig')",2,4,2,4
"Exactly 2 of the following cities are in the Democratic Republic of the Congo and 4 in South Africa: Pietermaritzburg, Durban, Gqeberha, Bukavu, Benoni, Mbuji-Mayi.",1,"('the Democratic Republic of the Congo', 'South Africa')","('Benoni', 'Bukavu', 'Durban', 'Gqeberha', 'Mbuji-Mayi', 'Pietermaritzburg')",2,4,2,4
"Exactly 1 of the following cities are in Ghana and 1 in Tanzania: Arusha, Accra, Qui Nhon, Kota Bharu, Lahore, Sanmenxia.",1,"('Ghana', 'Tanzania')","('Accra', 'Arusha', 'Kota Bharu', 'Lahore', 'Qui Nhon', 'Sanmenxia')",1,1,1,1
"Exactly 2 of the following cities are in the Dominican Republic and 4 in China: Linfen, Santiago de los Caballeros, Santo Domingo Oeste, Yinchuan, Xingtai, Zunyi.",1,"('the Dominican Republic', 'China')","('Linfen', 'Santiago de los Caballeros', 'Santo Domingo Oeste', 'Xingtai', 'Yinchuan', 'Zunyi')",2,4,2,4
"Exactly 1 of the following cities are in the United States and 4 in Cambodia: Milwaukee, Islamabad, Assiut, Phnom Penh, Fort Worth, Kolkata.",0,"('the United States', 'Cambodia')","('Assiut', 'Fort Worth', 'Islamabad', 'Kolkata', 'Milwaukee', 'Phnom Penh')",1,4,2,1
"Exactly 3 of the following cities are in Malaysia and 2 in South Africa: Ipoh, Hannover, Petaling Jaya, Kota Kinabalu, Soweto, Pietermaritzburg.",1,"('Malaysia', 'South Africa')","('Hannover', 'Ipoh', 'Kota Kinabalu', 'Petaling Jaya', 'Pietermaritzburg', 'Soweto')",3,2,3,2
"Exactly 1 of the following cities are in Eritrea and 3 in South Korea: Bucheon-si, Suwon, Ufa, Adachi, Ansan-si, Asmara.",1,"('Eritrea', 'South Korea')","('Adachi', 'Ansan-si', 'Asmara', 'Bucheon-si', 'Suwon', 'Ufa')",1,3,1,3
"Exactly 2 of the following cities are in Saudi Arabia and 1 in Madagascar: Pokhara, Buraydah, Dammam, Chongming, Gujrat, Antananarivo.",1,"('Saudi Arabia', 'Madagascar')","('Antananarivo', 'Buraydah', 'Chongming', 'Dammam', 'Gujrat', 'Pokhara')",2,1,2,1
